"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048015","GO:0048015","phosphatidylinositol-mediated signaling","22/1211","168/28943",2.20940429574943e-06,1.96738846748689e-05,1.08002174678003e-05,"Dcn/Fn1/Cep55/Ptafr/Hcls1/Trem2/Ptpn6/Hcst/Zfp36l1/Pdgfra/Gsn/Edn1/Plce1/Kdr/Pdgfb/Pear1/Angpt1/F2r/Klf4/Igf1/Pdgfrb/Rara",22
"GO:0070555","GO:0070555","response to interleukin-1","16/1211","96/28943",2.26110386794564e-06,2.01022901021644e-05,1.10353958199987e-05,"Serpine1/Ccl12/Anxa1/Ccl6/Ccl9/Fn1/Ccl4/Il1b/Il1r2/Ccl3/Cd40/Pycard/Myd88/Irf1/Cebpb/Nfkb1",16
"GO:0030225","GO:0030225","macrophage differentiation","11/1211","46/28943",2.27672605728853e-06,2.02091008666768e-05,1.10940308838765e-05,"Enpp1/Ripk1/Itgam/Hcls1/C1qc/Cebpa/Spi1/Nrros/Il15/Rb1/Csf1",11
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","27/1211","236/28943",2.38535999689813e-06,2.1119255647647e-05,1.15936713832637e-05,"Gpr65/Foxm1/Dock2/Cyth4/Rasal3/Arhgdib/Rasip1/Abca1/F11r/Gpr17/Sipa1/Itgb1/Ophn1/Eps8/Lpar4/Cgnl1/Csf1/Nrp1/Plce1/Arhgap25/Akap13/Stard13/Heg1/F2r/Igf1/Sh2b2/Pdgfrb",27
"GO:1901136","GO:1901136","carbohydrate derivative catabolic process","21/1211","156/28943",2.38680393232647e-06,2.1119255647647e-05,1.15936713832637e-05,"Cd44/Hexb/Prkcd/Cela1/Upp1/Naglu/Gusb/Ctsl/Edem1/Manba/Hexa/Amdhd2/Gpd1/Fuca1/Chil1/Samhd1/Sgsh/Edem2/Gla/Fuca2/Dera",21
"GO:0007260","GO:0007260","tyrosine phosphorylation of STAT protein","14/1211","75/28943",2.40770500038945e-06,2.12705925980778e-05,1.16767496366223e-05,"Socs3/Parp14/Hcls1/Cd40/Tnfrsf1a/Pecam1/Lyn/Parp9/Irf1/Il15/Cav1/Il6st/Igf1/Socs1",14
"GO:0043032","GO:0043032","positive regulation of macrophage activation","9/1211","30/28943",2.46241847602945e-06,2.17196943058912e-05,1.19232894628794e-05,"Lgals9/Ctsc/Lbp/Havcr2/Pla2g4a/Trem2/Cebpa/Il4ra/Il33",9
"GO:0046822","GO:0046822","regulation of nucleocytoplasmic transport","19/1211","132/28943",2.6051127306203e-06,2.29259548846463e-05,1.2585480829185e-05,"Cdk1/Mdfic/Sp100/Hcls1/Tnfrsf1a/Prkcd/Uaca/Flna/Apod/Wipf1/Ier3/Ptpn14/Bag3/Ifi27/Cdkn2a/Cdh1/Anp32b/Angpt1/Ptgs2",19
"GO:0009895","GO:0009895","negative regulation of catabolic process","33/1211","324/28943",2.60736176781283e-06,2.29259548846463e-05,1.2585480829185e-05,"Timp1/Apobec1/Hmox1/Tent5c/Anxa2/Slc11a1/Gimap5/Il1b/Tspo/Zfp36/Trem2/Rasip1/Dap/Flna/Tent5a/Rnf5/Myd88/Dysf/Nupr1/Pde3b/Ophn1/Tirap/Ier3/Ctsa/Mcl1/Cdkn2a/Furin/Pabpc1/Stat3/Mad2l1/Ybx1/Mapkapk2/Rbm38",33
"GO:0061045","GO:0061045","negative regulation of wound healing","14/1211","76/28943",2.83861535568987e-06,2.49201953091206e-05,1.36802432832373e-05,"Serpine1/Anxa2/Plau/Cd9/Pros1/Prkcd/Phldb2/Tfpi/Serping1/Pdgfra/Plat/Pdgfb/Anxa5/Thbd",14
"GO:0043277","GO:0043277","apoptotic cell clearance","11/1211","47/28943",2.86045439601506e-06,2.50334454251255e-05,1.3742413307171e-05,"Cd300lf/Anxa1/Rac2/Tgm2/Tyrobp/Trem2/Axl/Pear1/Scarb1/Rhog/Rara",11
"GO:1900087","GO:1900087","positive regulation of G1/S transition of mitotic cell cycle","11/1211","47/28943",2.86045439601506e-06,2.50334454251255e-05,1.3742413307171e-05,"Anxa1/Rrm2/Aif1/Adamts1/Dbf4/Mtbp/Adam17/Ccnd3/Ccnd1/Anp32b/Rrm1",11
"GO:0072678","GO:0072678","T cell migration","13/1211","66/28943",2.92817672284191e-06,2.55861432521646e-05,1.40458234788098e-05,"Cxcl10/Lgals9/Adam8/Msn/Ecm1/Cxcl16/Aif1/Icam1/Pycard/Cd200/F11r/Apod/Adam17",13
"GO:0090100","GO:0090100","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","18/1211","121/28943",2.93828698396933e-06,2.5634494388181e-05,1.40723664210107e-05,"Lgals9/Rbpms/Foxd1/Dab2/Ccn1/Cdh5/Lrg1/Msx1/Tgfbr2/Sulf1/Tgfb1i1/Acvrl1/Adam17/Vsir/Kdr/Furin/Bmp7/Tgfbr1",18
"GO:2001185","GO:2001185","regulation of CD8-positive, alpha-beta T cell activation","7/1211","17/28943",2.96626495338582e-06,2.5838335931437e-05,1.41842677070312e-05,"Cd244a/Nckap1l/Cd274/Irf1/Vsir/Runx1/Socs1",7
"GO:0032091","GO:0032091","negative regulation of protein binding","16/1211","98/28943",2.99195506513006e-06,2.60216464593067e-05,1.42848982432902e-05,"Aurka/Dab2/Ctsz/Nes/B2m/Dysf/Cdkn1a/Id1/Ifit2/Cdkn2a/Cav1/Bax/Pdgfb/Ccm2l/Ralb/Rack1",16
"GO:0007051","GO:0007051","spindle organization","23/1211","185/28943",3.22624835444785e-06,2.80158403616471e-05,1.53796351584531e-05,"Birc5/Cdc20/Aurka/Cdca8/Prc1/Plk1/Kifc1/Kif23/Ccnb1/Cenph/Tpx2/Parp3/Tacc3/Flna/Knstrn/Fbxo5/Myh9/Haus4/Racgap1/Haus7/Haus8/Spag5/Bora",23
"GO:0031098","GO:0031098","stress-activated protein kinase signaling cascade","28/1211","254/28943",3.24355222770793e-06,2.81225015903903e-05,1.54381881328578e-05,"Foxm1/Dab2/Il1b/Ripk1/Zfp36/Mdfic/Pycard/Trem2/Fcgr2b/Lyn/Ccn2/Naip2/Ltbr/Spi1/Fas/Irak4/Lmnb1/Myd88/Zfp36l1/Eif2ak2/Tirap/Gadd45a/Map3k20/Traf4/Nfkb1/Mapkapk2/Gadd45g/Prdx1",28
"GO:0002475","GO:0002475","antigen processing and presentation via MHC class Ib","10/1211","39/28943",3.32258054083809e-06,2.87187864340033e-05,1.57655259255816e-05,"H2-T23/H2-Q4/H2-K1/H2-Q7/H2-Q9/H2-D1/B2m/Tap2/H2-M3/H2-T22",10
"GO:0045589","GO:0045589","regulation of regulatory T cell differentiation","10/1211","39/28943",3.32258054083809e-06,2.87187864340033e-05,1.57655259255816e-05,"Cd44/Lgals9/Il2rg/Ctla2a/Gimap5/Mdk/Irf1/Vsir/Hspb1/Socs1",10
"GO:0002712","GO:0002712","regulation of B cell mediated immunity","14/1211","77/28943",3.3368885002144e-06,2.87457016410818e-05,1.57803013547581e-05,"Fcgr1/Fcer1g/Gimap5/Ptprc/Fcgr3/Cd40/Trem2/Fcgr2b/Ptpn6/Parp3/Tnfsf13/Nectin2/Cr1l/Foxj1",14
"GO:0002889","GO:0002889","regulation of immunoglobulin mediated immune response","14/1211","77/28943",3.3368885002144e-06,2.87457016410818e-05,1.57803013547581e-05,"Fcgr1/Fcer1g/Gimap5/Ptprc/Fcgr3/Cd40/Trem2/Fcgr2b/Ptpn6/Parp3/Tnfsf13/Nectin2/Cr1l/Foxj1",14
"GO:1905523","GO:1905523","positive regulation of macrophage migration","9/1211","31/28943",3.34109119234856e-06,2.87457016410818e-05,1.57803013547581e-05,"C5ar1/C3ar1/Mmp14/Trem2/Cmklr1/Mdk/Csf1/Cx3cr1/P2rx4",9
"GO:0050732","GO:0050732","negative regulation of peptidyl-tyrosine phosphorylation","12/1211","57/28943",3.3693661080343e-06,2.89001831104136e-05,1.58651058298834e-05,"Socs3/Ptprc/Parp14/Pecam1/Ptpn6/Samsn1/Prkcd/Lrrk1/Irf1/Cav1/Igf1/Socs1",12
"GO:1903053","GO:1903053","regulation of extracellular matrix organization","12/1211","57/28943",3.3693661080343e-06,2.89001831104136e-05,1.58651058298834e-05,"Nid1/Tnfrsf1b/Tnfrsf1a/Phldb2/Cflar/Ets1/Efemp2/Aebp1/Lamc1/Rb1/Lamb1/Prdm5",12
"GO:0043270","GO:0043270","positive regulation of ion transport","34/1211","343/28943",3.37690563700778e-06,2.89205634141904e-05,1.587629384468e-05,"Lgals3/Serpine1/Cxcl10/Cxcr4/Ccl12/Cxcl1/Gimap5/Il1b/Ptafr/Tspo/P2ry6/Ctss/Pla2g4a/Trem2/Flna/Oxt/Capn3/Cebpb/Itgb1/Kcne1l/Bak1/Ptges/Ifngr1/Ano6/Edn1/Cav1/Orai1/Bax/Pdgfb/P2rx4/F2r/Abcb1a/Pdgfrb/Trpv2",34
"GO:0062207","GO:0062207","regulation of pattern recognition receptor signaling pathway","16/1211","99/28943",3.43150290738657e-06,2.93432790599575e-05,1.61083487223402e-05,"Cd300lf/Irf7/Rab7b/Trim30a/Lbp/Rsad2/Rnf125/Dhx58/Ifi35/Trem2/Lyn/Zc3hav1/Irf1/Tirap/Ninj1/Cav1",16
"GO:0043525","GO:0043525","positive regulation of neuron apoptotic process","15/1211","88/28943",3.48816241295983e-06,2.97823135289452e-05,1.63493620158146e-05,"Il1b/Ctsz/Ccl3/Tyrobp/Itgam/Tnfrsf1a/Grn/Fas/Ncf2/Nupr1/Bcl2l11/Mcl1/Casp6/Bax/Jun",15
"GO:0032930","GO:0032930","positive regulation of superoxide anion generation","8/1211","24/28943",3.70671619274126e-06,3.16001786842371e-05,1.73473011279295e-05,"Cxcl1/Itgb2/Tyrobp/Itgam/Prkcd/Syk/Gnai2/Gnai3",8
"GO:1905952","GO:1905952","regulation of lipid localization","23/1211","187/28943",3.87696631378947e-06,3.30013500357672e-05,1.81164911255464e-05,"Spp1/Plin2/Anxa2/Dab2/Il1b/Igfbp3/Tspo/Pla2g4a/Trem2/Ldlrap1/Prkcd/Abca1/Syk/Oxt/Ptges/Runx1/Edn1/Cav1/Furin/Abhd5/Nfkbia/Scarb1/Plin3",23
"GO:0000727","GO:0000727","double-strand break repair via break-induced replication","6/1211","12/28943",3.94080219504735e-06,3.33420439493356e-05,1.83035191790957e-05,"Mcm3/Mcm6/Mcm2/Mcm5/Mcm7/Mcm4",6
"GO:0045588","GO:0045588","positive regulation of gamma-delta T cell differentiation","6/1211","12/28943",3.94080219504735e-06,3.33420439493356e-05,1.83035191790957e-05,"Gimap5/Ptprc/Nckap1l/Syk/Stat5a/Sox4",6
"GO:0046645","GO:0046645","positive regulation of gamma-delta T cell activation","6/1211","12/28943",3.94080219504735e-06,3.33420439493356e-05,1.83035191790957e-05,"Gimap5/Ptprc/Nckap1l/Syk/Stat5a/Sox4",6
"GO:0140289","GO:0140289","protein mono-ADP-ribosylation","6/1211","12/28943",3.94080219504735e-06,3.33420439493356e-05,1.83035191790957e-05,"Enpp1/Parp10/Parp14/Parp9/Parp3/Parp12",6
"GO:0002260","GO:0002260","lymphocyte homeostasis","15/1211","89/28943",4.0344439801274e-06,3.40828367008952e-05,1.87101863395287e-05,"Cd44/Gimap5/Enpp1/Nckap1l/Cd24a/Lyn/Fas/Tnfrsf13b/Tcirg1/Bcl2l11/Bak1/Stat5a/Bax/Bcl2a1a/Sh2b2",15
"GO:0051496","GO:0051496","positive regulation of stress fiber assembly","12/1211","58/28943",4.08751616262974e-06,3.44273353787807e-05,1.8899303064569e-05,"Gpr65/Rhoc/Ccn2/Fhod1/Pfn1/Sh3pxd2b/Pxn/Nrp1/Pdlim4/Sdc4/Arhgef5/Tgfbr1",12
"GO:0140353","GO:0140353","lipid export from cell","12/1211","58/28943",4.08751616262974e-06,3.44273353787807e-05,1.8899303064569e-05,"Spp1/Dab2/Il1b/Igfbp3/Tspo/Pla2g4a/Oxt/Ptges/Runx1/Edn1/Abcc4/Ptgs2",12
"GO:0061082","GO:0061082","myeloid leukocyte cytokine production","13/1211","68/28943",4.15662092255188e-06,3.4956807488308e-05,1.91899631970508e-05,"Fcer1g/Hmox1/Il1b/Laptm5/Pycard/Litaf/Rigi/Syk/Myd88/Tirap/Axl/Mapkapk2/Ddx21",13
"GO:1905954","GO:1905954","positive regulation of lipid localization","18/1211","124/28943",4.19672809667599e-06,3.52411905089688e-05,1.93460787033702e-05,"Spp1/Plin2/Anxa2/Dab2/Il1b/Pla2g4a/Trem2/Ldlrap1/Prkcd/Abca1/Oxt/Ptges/Runx1/Edn1/Cav1/Nfkbia/Scarb1/Plin3",18
"GO:0007179","GO:0007179","transforming growth factor beta receptor signaling pathway","24/1211","202/28943",4.42859981472899e-06,3.71326161112231e-05,2.03843997145026e-05,"Col1a2/Lox/Lpxn/Dab2/Cdh5/Lrg1/Hpgd/Spi1/Tgfbr2/Tgfb1i1/Nrros/Htra3/Acvrl1/Itgb5/Adam17/Pxn/Cldn5/Cav1/Furin/Stat3/Hdac1/Jun/Gcnt2/Tgfbr1",24
"GO:0001945","GO:0001945","lymph vessel development","9/1211","32/28943",4.47615268335766e-06,3.73635337995324e-05,2.05111647785516e-05,"Sox18/Clec14a/Syk/Foxc1/Acvrl1/Ptpn14/Kdr/Heg1/Nr2f2",9
"GO:0002825","GO:0002825","regulation of T-helper 1 type immune response","9/1211","32/28943",4.47615268335766e-06,3.73635337995324e-05,2.05111647785516e-05,"Anxa1/Slc11a1/Havcr2/Il1b/Pla2g4a/Il4ra/Irf1/Hlx/Il33",9
"GO:2000352","GO:2000352","negative regulation of endothelial cell apoptotic process","9/1211","32/28943",4.47615268335766e-06,3.73635337995324e-05,2.05111647785516e-05,"Serpine1/Angptl4/Cdh5/Icam1/Nfe2l2/Id1/Kdr/Ramp2/Angpt1",9
"GO:0051403","GO:0051403","stress-activated MAPK cascade","27/1211","244/28943",4.49353645849452e-06,3.74528239643271e-05,2.05601816968397e-05,"Foxm1/Dab2/Il1b/Ripk1/Zfp36/Mdfic/Pycard/Trem2/Fcgr2b/Ccn2/Naip2/Ltbr/Spi1/Fas/Irak4/Lmnb1/Myd88/Zfp36l1/Eif2ak2/Tirap/Gadd45a/Map3k20/Traf4/Nfkb1/Mapkapk2/Gadd45g/Prdx1",27
"GO:0045453","GO:0045453","bone resorption","14/1211","79/28943",4.5724702401796e-06,3.80540948220593e-05,2.08902566224519e-05,"Spp1/Rac2/Adam8/Cd38/Enpp1/Ctss/Trf/Lrrk1/Syk/Inpp5d/Tcirg1/Tmem119/Csk/Ctsk",14
"GO:0090287","GO:0090287","regulation of cellular response to growth factor stimulus","32/1211","318/28943",4.73906049880968e-06,3.93820146199303e-05,2.16192342917743e-05,"Lox/Dcn/Foxd1/Dab2/Ccn1/Cdh5/Lrg1/Myof/Cd63/Creb3l1/Msx1/Adgra2/Cflar/Sulf1/Tgfb1i1/Nrros/Fstl1/Htra3/Myo1c/Mmrn2/Acvrl1/Adam17/Fgfrl1/Vsir/Nrp1/Cav1/Kdr/Furin/Pdgfb/Angpt1/Hdac1/Smoc2",32
"GO:0046578","GO:0046578","regulation of Ras protein signal transduction","24/1211","203/28943",4.82644750821597e-06,4.00487888792854e-05,2.19852681037019e-05,"Gpr65/Foxm1/Dock2/Cyth4/Rasal3/Arhgdib/Rasip1/Abca1/F11r/Gpr17/Itgb1/Ophn1/Eps8/Lpar4/Csf1/Nrp1/Plce1/Akap13/Stard13/Heg1/F2r/Igf1/Sh2b2/Pdgfrb",24
"GO:0002218","GO:0002218","activation of innate immune response","12/1211","59/28943",4.93695707827011e-06,4.0844751248731e-05,2.24222212946078e-05,"Trim30a/Clec7a/Trim30d/Tyrobp/Trim12c/Mndal/Pycard/Sting1/Ifi203/Cgas/Syk/Casp6",12
"GO:0071622","GO:0071622","regulation of granulocyte chemotaxis","12/1211","59/28943",4.93695707827011e-06,4.0844751248731e-05,2.24222212946078e-05,"C5ar1/Rac2/C3ar1/Lbp/Il1b/Nckap1l/Cmklr1/Mdk/Dysf/Tirap/Csf1/Edn1",12
"GO:0000302","GO:0000302","response to reactive oxygen species","23/1211","190/28943",5.07897186580333e-06,4.18959078355883e-05,2.29992664444795e-05,"Anxa1/Hba-a1/Hmox1/Cyp1b1/Mmp9/Ripk1/Prkcd/Gch1/Apod/Nfe2l2/Pdgfra/Casp6/Edn1/Cdkn2a/Lig1/Nos3/Axl/Jun/Ezh2/Pdgfrb/Prdx6/Rack1/Prdx1",23
"GO:0050680","GO:0050680","negative regulation of epithelial cell proliferation","23/1211","190/28943",5.07897186580333e-06,4.18959078355883e-05,2.29992664444795e-05,"Ccl12/Dab2/B4galt1/Serpinf1/Atoh8/B2m/Sulf1/Ctsl/Stat1/Cdk6/Nupr1/Mmrn2/Acvrl1/Sparc/Rb1/Gkn3/Cdkn2a/Cav1/Lims1/Cdh1/Gas1/Nr2f2/Tgfbr1",23
"GO:1903306","GO:1903306","negative regulation of regulated secretory pathway","8/1211","25/28943",5.25112297967686e-06,4.31234126815329e-05,2.36731201087696e-05,"Cd84/Lgals9/Hmox1/Nckap1l/Spi1/Rest/Gnai2/Rap1b",8
"GO:1903975","GO:1903975","regulation of glial cell migration","8/1211","25/28943",5.25112297967686e-06,4.31234126815329e-05,2.36731201087696e-05,"Vim/Trem2/Fas/Efemp1/Csf1/Cx3cr1/Cers2/P2rx4",8
"GO:0051494","GO:0051494","negative regulation of cytoskeleton organization","22/1211","177/28943",5.25857719362382e-06,4.31234126815329e-05,2.36731201087696e-05,"Ckap2/Capg/Cdh5/Kifc1/Pecam1/Prkcd/Tpx2/F11r/Phldb2/Pfn1/Dysf/Arap1/Lima1/Eps8/Cgnl1/Gsn/Svil/Tmod3/Tmsb4x/Swap70/Add3/Kank3",22
"GO:2001242","GO:2001242","regulation of intrinsic apoptotic signaling pathway","22/1211","177/28943",5.25857719362382e-06,4.31234126815329e-05,2.36731201087696e-05,"Hells/Cd44/Fignl1/Mmp9/Snai1/Taf6/Pycard/Trem2/Creb3l1/Msx1/Nfe2l2/Nupr1/Bcl2l11/Hspb1/P4hb/Mcl1/Cav1/Bax/Hdac1/Ptgs2/Ybx3/Rack1",22
"GO:1902749","GO:1902749","regulation of cell cycle G2/M phase transition","17/1211","114/28943",5.31409701401958e-06,4.35149961630463e-05,2.38880846074965e-05,"Cdk1/Clspn/Cdc6/Cenpf/Plk1/Ccnb1/Cdk2/Fbxo5/Lmnb1/Cdkn1a/Ier3/Ccnd1/Cdkn2a/Mta3/Atf5/Rrm1/Rnaseh2b",17
"GO:0006636","GO:0006636","unsaturated fatty acid biosynthetic process","10/1211","41/28943",5.42936675313117e-06,4.4393990050055e-05,2.4370618956429e-05,"Anxa1/Tbxas1/Il1b/Pla2g4a/Hpgds/Ptges/Fabp5/Edn1/Ptgs2/Ptgs1",10
"GO:0043547","GO:0043547","positive regulation of GTPase activity","28/1211","261/28943",5.48028677940992e-06,4.47450236901967e-05,2.4563323128213e-05,"Rgs1/Ccl12/Gpr65/Ccl6/Ccl9/Ccl4/Ccl3/Cd40/Icam1/Arhgap45/Vav1/F11r/Arap1/Sipa1/Itgb1/Adap2/Gmip/Itga6/Lims1/Arhgap25/Rsu1/Rhog/F2r/Ezh2/Nedd9/Arhgef5/Foxj1/Rack1",28
"GO:0007272","GO:0007272","ensheathment of neurons","22/1211","178/28943",5.76676067099973e-06,4.69471315672521e-05,2.57721969400095e-05,"Cxcr4/Ctsc/Enpp1/Cst7/Tnfrsf1b/Cd9/Hexb/Mall/Trf/Klk8/Cldn11/Acer3/Tmem98/Cldn5/Cmtm8/Jam2/Sox10/Hexa/Rxrg/Bcas1/Igf1/Rara",22
"GO:0008366","GO:0008366","axon ensheathment","22/1211","178/28943",5.76676067099973e-06,4.69471315672521e-05,2.57721969400095e-05,"Cxcr4/Ctsc/Enpp1/Cst7/Tnfrsf1b/Cd9/Hexb/Mall/Trf/Klk8/Cldn11/Acer3/Tmem98/Cldn5/Cmtm8/Jam2/Sox10/Hexa/Rxrg/Bcas1/Igf1/Rara",22
"GO:0071677","GO:0071677","positive regulation of mononuclear cell migration","13/1211","70/28943",5.82045402520975e-06,4.730011395751e-05,2.59659709017914e-05,"Lgals3/Serpine1/Cxcl10/Lgals9/Adam8/Aif1/Pycard/Lgmn/Spi1/Adam17/Ano6/Jam2/Cx3cr1",13
"GO:0010389","GO:0010389","regulation of G2/M transition of mitotic cell cycle","16/1211","103/28943",5.82700921811854e-06,4.730011395751e-05,2.59659709017914e-05,"Cdk1/Clspn/Cdc6/Cenpf/Plk1/Ccnb1/Cdk2/Fbxo5/Lmnb1/Cdkn1a/Ier3/Ccnd1/Cdkn2a/Mta3/Rrm1/Rnaseh2b",16
"GO:0051348","GO:0051348","negative regulation of transferase activity","28/1211","262/28943",5.8957421708629e-06,4.77887871186731e-05,2.62342339570273e-05,"Cdc20/Ptprc/Il1b/Plk1/Zfp36/Bub1b/Pycard/Ptpn6/Lyn/Rasip1/Prkcd/Parp3/Fbxo5/Cdkn2c/Cdkn1a/Dtx3l/Wwtr1/Rb1/Hspb1/Cdkn2a/Gadd45a/Cav1/Bmp7/Mad2l1/Csk/Heg1/Nr2f2/Gadd45g",28
"GO:0006270","GO:0006270","DNA replication initiation","9/1211","33/28943",5.9266464448727e-06,4.79698652279364e-05,2.63336389800322e-05,"Mcm10/Cdc6/Mcm3/Mcm6/Mcm2/Cdk2/Mcm5/Mcm7/Mcm4",9
"GO:0002820","GO:0002820","negative regulation of adaptive immune response","12/1211","60/28943",5.93771985150433e-06,4.79901426959246e-05,2.63447705418761e-05,"Havcr2/Ptprc/Nckap1l/Fcgr2b/Ptpn6/Samsn1/Parp3/Il4ra/Vsir/Cr1l/Il33/Foxj1",12
"GO:0032088","GO:0032088","negative regulation of NF-kappaB transcription factor activity","14/1211","81/28943",6.19872877733623e-06,4.99555106213816e-05,2.7423683087617e-05,"Cyp1b1/Havcr2/Parp10/Pycard/Dap/Cd200/Spi1/Cmklr1/Anxa4/Bcl3/Cdkn2a/Nfkbia/Klf4/Foxj1",14
"GO:0045123","GO:0045123","cellular extravasation","14/1211","81/28943",6.19872877733623e-06,4.99555106213816e-05,2.7423683087617e-05,"Adam8/Itgb2/Ptafr/Itgam/Icam1/Gcnt1/Pecam1/F11r/Mdk/Itgb1/Jam2/Cx3cr1/Vcam1/Selplg",14
"GO:0030278","GO:0030278","regulation of ossification","19/1211","140/28943",6.30340496192514e-06,5.07067221005799e-05,2.7836069734877e-05,"Isg15/Rsad2/Ccn1/Enpp1/Mgp/Ecm1/Srgn/Creb3l1/Dhrs3/Oxt/Mdk/Tent5a/Osr1/P3h1/Ano6/Csf1/Tmem119/Bmp2k/Bmp7",19
"GO:0031214","GO:0031214","biomineral tissue development","22/1211","179/28943",6.31910230783874e-06,5.07067221005799e-05,2.7836069734877e-05,"Spp1/Isg15/Col1a1/Col1a2/Lox/Ccn1/Enpp1/Mgp/Ecm1/Srgn/Fbxo5/Tent5a/Osr1/Tcirg1/Cebpb/Ano6/Nos3/Tmem119/Bmp2k/Bmp7/Ptgs2/Igf1",22
"GO:1902904","GO:1902904","negative regulation of supramolecular fiber organization","22/1211","179/28943",6.31910230783874e-06,5.07067221005799e-05,2.7836069734877e-05,"Ckap2/Capg/Cdh5/Trem2/Pecam1/Prkcd/Tpx2/F11r/Phldb2/Pfn1/Dysf/Arap1/Lima1/Eps8/Cgnl1/Gsn/Svil/Tmod3/Tmsb4x/Swap70/Add3/Kank3",22
"GO:0043123","GO:0043123","positive regulation of I-kappaB kinase/NF-kappaB signaling","18/1211","128/28943",6.62457004192429e-06,5.3081855228638e-05,2.91399278555242e-05,"Tmem106a/Trim30a/S100a4/Il1b/Ripk1/Trim30d/Cd40/Trim12c/Zc3hav1/Ltbr/Trim25/Irak4/Myd88/Tirap/S100a13/Akap13/Tradd/Ddx21",18
"GO:0046640","GO:0046640","regulation of alpha-beta T cell proliferation","11/1211","51/28943",6.70919252003534e-06,5.36831247210256e-05,2.94700020316139e-05,"Cd44/Lgals9/Ptprc/Cd244a/Rasal3/Cd274/Cd24a/Tgfbr2/Syk/Irf1/Vsir",11
"GO:0043491","GO:0043491","protein kinase B signaling","24/1211","207/28943",6.76493627093165e-06,5.40519373088276e-05,2.96724661722222e-05,"Ccl12/Lox/Adam8/Il1b/Hcls1/Cd40/Itgb1/Zfp36l1/Kdr/F3/Hbegf/Cx3cr1/Axl/Phlda3/Pear1/Angpt1/P2rx4/Chil1/Klf4/Igf1/Rara/Gcnt2/Tgfbr1/Rack1",24
"GO:0034121","GO:0034121","regulation of toll-like receptor signaling pathway","13/1211","71/28943",6.85424300192485e-06,5.4687485831597e-05,3.00213582375506e-05,"Cd300lf/Irf7/Rab7b/Trim30a/Lbp/Rsad2/Ifi35/Trem2/Lyn/Irf1/Tirap/Ninj1/Cav1",13
"GO:0033003","GO:0033003","regulation of mast cell activation","12/1211","61/28943",7.11227348474313e-06,5.65850053807475e-05,3.1063024594699e-05,"Cd300lf/Cd84/Rac2/Fcer1g/Hmox1/Fes/Milr1/Ptpn6/Lyn/Il4ra/Syk/Nectin2",12
"GO:0045620","GO:0045620","negative regulation of lymphocyte differentiation","12/1211","61/28943",7.11227348474313e-06,5.65850053807475e-05,3.1063024594699e-05,"Fgl2/Anxa1/Cd44/Il4ra/Mdk/Irf1/Runx1/Hspb1/Cdkn2a/Hlx/Foxj1/Socs1",12
"GO:0042474","GO:0042474","middle ear morphogenesis","8/1211","26/28943",7.30689918307573e-06,5.80509820204357e-05,3.18677902407827e-05,"Enpp1/Prrx2/Msx1/Prrx1/Naglu/Osr1/Edn1/Gas1",8
"GO:0045444","GO:0045444","fat cell differentiation","28/1211","265/28943",7.32103089535023e-06,5.80808697519216e-05,3.18841974732638e-05,"Psmb8/Cebpd/Enpp1/Lrg1/Zfp36/Cebpa/Cmklr1/Tgfb1i1/Dysf/Cebpb/Sh3pxd2b/Wwtr1/Zfp36l1/Pdgfra/Ccnd1/Jag1/Ccn4/Adgrf5/Itga6/Atf5/Bmp7/Grk5/Lama4/Ptgs2/Klf4/Igf1/Sh2b2/Socs1",28
"GO:0042476","GO:0042476","odontogenesis","18/1211","129/28943",7.40159877249719e-06,5.86369939529798e-05,3.21894885944529e-05,"Serpine1/Col1a1/Enpp1/Msx1/Foxc1/Osr1/Tcirg1/Bcl2l11/Id3/Pdgfra/Csf1/Edn1/Itga6/Lamb1/Bax/Bmp7/Gas1/Hdac1",18
"GO:0002476","GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib","9/1211","34/28943",7.76169214221477e-06,6.11437942173628e-05,3.3565626985579e-05,"H2-T23/H2-Q4/H2-K1/H2-Q7/H2-Q9/H2-D1/Tap2/H2-M3/H2-T22",9
"GO:0002484","GO:0002484","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway","9/1211","34/28943",7.76169214221477e-06,6.11437942173628e-05,3.3565626985579e-05,"H2-T23/H2-Q4/H2-K1/H2-Q7/H2-Q9/H2-D1/Tap2/H2-M3/H2-T22",9
"GO:0036037","GO:0036037","CD8-positive, alpha-beta T cell activation","9/1211","34/28943",7.76169214221477e-06,6.11437942173628e-05,3.3565626985579e-05,"Clec4a1/Cd244a/Nckap1l/Cd274/Gimap1/Irf1/Vsir/Runx1/Socs1",9
"GO:2000108","GO:2000108","positive regulation of leukocyte apoptotic process","9/1211","34/28943",7.76169214221477e-06,6.11437942173628e-05,3.3565626985579e-05,"Anxa1/Cd44/Adam8/Cd274/Cd24a/Lyn/Bcl2l11/Cdkn2a/Bax",9
